ACTUALOD,0.011,0.023,0.046,0.093,0.187,0.375,0.75,1.5,3,6,,,,,,,,,,,,,
CENPkA,0.232,0.249,0.295,0.351,0.463,0.607,0.868,1.151,1.52,1.846,,,,,,,,,,,,,
CENPkA,0.236,0.26,0.294,0.364,0.458,0.622,0.903,1.189,1.577,1.903,,,,,,,,,,,,,
CENPkA,0.272,0.292,0.327,0.401,0.496,0.658,0.931,1.223,1.588,1.905,,,,,,,,,,,,,
YEF473,0.265,0.276,0.293,0.331,0.418,0.508,0.707,0.98,1.372,1.696,,,,,,,,,,,,,
YEF473,0.271,0.271,0.296,0.333,0.417,0.531,0.706,0.983,1.357,1.735,,,,,,,,,,,,,
YEF473,0.241,0.266,0.291,0.333,0.416,0.536,0.723,1.024,1.351,1.744,,,,,,,,,,,,,
BY 4791,0.329,0.322,0.339,0.37,0.433,0.532,0.671,0.931,1.308,1.711,,,,,,,,,,,,,
BY 4791,0.368,0.385,0.392,0.419,0.479,0.567,0.728,0.976,1.356,1.715,,,,,,,,,,,,,
BY 4791,0.321,0.307,0.33,0.362,0.425,0.552,0.712,0.979,1.377,1.725,,,,,,,,,,,,,
BY 4792,0.35,0.391,0.408,0.439,0.519,0.642,0.814,1.123,1.405,1.764,,,,,,,,,,,,,
BY 4792,0.273,0.282,0.302,0.348,0.462,0.589,0.806,1.125,1.439,1.804,,,,,,,,,,,,,
BY 4792,0.279,0.294,0.31,0.353,0.464,0.594,0.812,1.125,1.478,1.836,,,,,,,,,,,,,
S288C,0.189,0.192,0.198,0.207,0.22,0.273,0.415,0.731,1.157,1.485,,,,,,,,,,,,,
S288C,0.195,0.199,0.203,0.211,0.225,0.288,0.419,0.716,1.167,1.731,,,,,,,,,,,,,
S288C,0.188,0.19,0.195,0.216,0.216,0.283,0.411,0.708,1.175,1.742,,,,,,,,,,,,,
W303a,0.213,0.213,0.213,0.218,0.225,0.257,0.363,0.541,0.879,1.338,,,,,,,,,,,,,
W303a,0.187,0.185,0.186,0.193,0.208,0.236,0.337,0.542,0.953,1.358,,,,,,,,,,,,,
W303a,0.187,0.185,0.188,0.195,0.212,0.241,0.347,0.553,0.953,1.548,,,,,,,,,,,,,
YP,0.209,0.213,0.22,0.225,0.229,0.233,0.245,0.23,0.237,0.225,NO DILUTION,,,,,,,,,,,,
EMPTY,0.096,0.1,0.095,0.095,0.094,0.096,0.095,0.097,0.096,0.095,,,,,,,,,,,,,
