"","CENPKA","CENPKA.1","CENPKA.2","CENPKA.3","CENPKA.4","CENPKA.5","CENPKA.6","CENPKA.7","CENPKA.8","CENPKA.9","YEF473","YEF473.1","YEF473.2","YEF473.3","YEF473.4","YEF473.5","YEF473.6","YEF473.7","YEF473.8","YEF473.9","BY4741","BY4741.1","BY4741.2","BY4741.3","BY4741.4","BY4741.5","BY4741.6","BY4741.7","BY4741.8","BY4741.9","BY4742","BY4742.1","BY4742.2","BY4742.3","BY4742.4","BY4742.5","BY4742.6","BY4742.7","BY4742.8","BY4742.9","S288c","S288c.1","S288c.2","S288c.3","S288c.4","S288c.5","S288c.6","S288c.7","S288c.8","S288c.9","w303a","w303a.1","w303a.2","w303a.3","w303a.4","w303a.5","w303a.6","w303a.7","w303a.8","w303a.9"
"Doubling Times",85.9231206944295,78.3963173153386,82.405813651508,78.9053719360859,84.8204604905323,83.4732890307604,83.2306643494951,85.4208393495922,83.7843118176787,87.4645200795993,78.1941219624092,74.9407331392384,75.8197340198048,"65.4829412413779","54.022124279725","62.1393284684064","69.7969410532036","64.5216182665865","65.6665241906761",87.9016688040089,109.219370532246,117.112901712623,116.64272650947,110.100335841267,100.830119200104,"68.1097720374348",100.472787442453,102.851788509373,101.466228536842,116.46321566136,114.51532400158,103.609959790751,90.8883588543974,120.361713697933,118.85219793887,106.061413443561,114.257573388817,133.8534438919,139.280314217567,142.876828925096,119.870522323488,147.374551478441,140.24402540683,114.123348276723,161.75968340268,"51.4306229084468",115.6001815832,143.353888787191,129.557417082379,189.143955304693,70.4206331630756,83.3121009607837,87.0293622808708,84.988360307382,109.448251287395,85.3306811597103,84.2013304580085,93.0420128545655,92.3047263459384,86.4990614644387
"Rsquared Value",0.969270283291374,0.98955737028631,0.988647281422422,0.995038633152457,0.992549172603533,0.980934929687596,0.983385301318614,0.983259601979949,0.979919709403379,0.970284674746971,0.996243949925541,0.995042912687299,0.995880345568194,"0.997898654926205","0.976920923329486","0.996527932547771","0.967937114094294","0.972420822292562","0.992408907414013",0.98817996768642,0.991002013349601,0.949335068142407,0.922331960962727,0.924229412427081,0.915223052064424,"0.849662264004859",0.895238014597929,0.891737414439608,0.890750302133236,0.905869572895105,0.982415183005903,0.929410879200616,0.921302546507371,0.886494510460089,0.907339713769396,0.944463750963382,0.896358062133188,0.949831526297933,0.901988209723879,0.983027910018816,0.984716679937006,0.98321797200716,0.990504050924384,0.997546087282687,0.944407382846837,"0.999824714170636",0.986992114567926,0.948800193011404,0.973837975878224,0.960180899854067,0.978652656349915,0.965768078613149,0.995839342558487,0.973404839338091,0.939963197108787,0.954996882423734,0.972530746651511,0.937182260626524,0.96448268046759,0.976542282579281
"Lower Limit",18,18,19,19,19,19,19,18,18,18,25,26,26,"26","27","26","26","27","26",23,16,20,21,21,22,"25",21,22,22,22,25,26,26,26,27,25,26,25,25,22,30,35,35,35,34,"38",34,34,34,32,19,20,20,20,21,20,20,20,19,18
"Upper Limit",28,29,29,29,29,29,29,29,29,29,34,35,35,"35","36","35","35","36","35",34,29,31,32,32,34,"35",32,33,32,32,35,36,37,36,38,36,36,35,36,33,42,46,45,45,47,"48",45,46,45,46,29,30,30,30,31,30,30,30,30,28
"Limit of exponential growth",35,36,37,36,36,35,34,34,34,34,59,65,60,"57","62","60","52","56","54",52,59,57,57,56,56,"53",56,56,56,56,49,49,50,49,49,57,57,58,56,59,96,96,96,96,96,"96",96,96,96,96,44,42,45,45,44,45,45,45,45,42
"Highest O.D",1.71628245513555,1.75128245513555,1.72211349601093,1.74828245513555,1.76128245513555,1.76494453688632,1.77702901644862,1.79528245513555,1.77611349601093,1.76328245513555,1.62928245513555,1.63328245513555,1.66728245513555,"1.64128245513555","1.84618422082555","1.65719797557324","1.68228245513555","1.66328245513555","1.65728245513555",1.64528245513555,1.59428245513555,1.54619797557324,1.58028245513555,1.56828245513555,1.56828245513555,"1.71659286388939",1.64519797557324,1.61719797557324,1.60128245513555,1.62519797557324,1.53228245513555,1.52419797557324,1.53028245513555,1.52428245513555,1.51028245513555,1.59819797557324,1.60828245513555,1.58319797557324,1.56828245513555,1.66919797557324,1.21328245513555,0.994480874831695,1.00428245513555,1.0275791091417,1.00228245513555,"0.774987752205542",1.09128245513555,1.12128245513555,1.13902901644862,1.16119797557324,1.76119797557324,1.76128245513555,1.78119797557324,1.77119797557324,1.75719797557324,1.80428245513555,1.81228245513555,1.80011349601093,1.81111349601093,1.74719797557324
"No Growth",0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exponential growth outside expected range",0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLANKAVERAGE",0.267730324074074,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0",0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACTERIAL CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAMINATION","CONTAMINATION","CONTAMINATION","CONTAMINATION","CONTAMINATION","CONTAMINATION",0,0,0,0,0,0,"CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CONTAMINATION",0,0,0,0,0,0,0,0,0,0,0,0,0,0
